ID;title;description;publisher_ID;author_ID;genre_ID;price;currency_code;pages;published;coverImage;coverImageType;content;contentType
0c088b93-0fbf-4a4d-a39b-b063d3b6de33;"Into the Wilderness";"A gripping adventure in the heart of the Amazon rainforest";d923443d-8217-497c-826e-feaf7b47fd32;d35fd106-65b0-4d64-a189-a551ab70ba12;3d21f004-99bc-43f4-9b3f-62c9f38a23fc;29.99;USD;368;2023-05-15
d470cd63-6343-4a8d-8050-6e2887fc3379;"The Art of Coding";"Master the secrets of programming and software development";7fc59dbe-0377-4027-b4ab-3a17cd3f2a95;654b2982-0db7-4f5f-94ed-32899c0d9e89;6fa14c7b-7a92-46ec-862b-5cf23a4d15d7;19.95;USD;256;2022-11-10
99eee271-54a7-4eba-89e5-235a4cf845c6;"Whispers in the Wind";"A romantic tale set in the charming countryside";5e2c0f0b-9435-402a-892b-8d7610439fc4;4726d7a4-2f21-4d29-90d6-c5424359b1ec;82cb0e96-788c-4aa5-8f8d-16df24cbb73f;14.50;EUR;312;2023-02-28
b5c36798-27dc-464a-b71d-84b7054ef0a4;"Quantum Journeys";"Explore the mysteries of quantum physics and parallel universes";c4dbc863-c78d-462c-9f2f-83209675c5b8;4f52576d-0143-470d-9482-65fe2ab79a06;9b4d6a12-cc17-4e85-92f8-8e21824e07f0;34.99;USD;432;2022-09-20
7f884687-e2eb-4d65-9981-9e5445d06335;"The Culinary Explorer";"A culinary journey around the world's most exquisite dishes";e4eea5f3-ebd9-4028-8ccc-fd8763cfb4d4;d35fd106-65b0-4d64-a189-a551ab70ba12;3d21f004-99bc-43f4-9b3f-62c9f38a23fc;27.50;GBP;320;2023-07-08
778bb90b-7202-47f1-9c76-2ab8d3c7d5be;"Mindful Living";"Discover the art of mindfulness for a balanced and peaceful life";183c53d9-a71b-443f-9431-f061cb876d15;b8246798-0e9d-4a74-a8cb-799eb61cf188;7a57e0e2-8c2b-4e1b-9a24-3dfe75d820a1;22.99;USD;224;2022-04-12
6773717f-ba4d-4cc5-821f-50ac14745963;"The Starlight Chronicles";"Epic space opera filled with intergalactic battles and intrigue";216b09e8-ed7e-474b-934e-e9148691d2b8;c6279534-5dda-4009-b8ee-0ddc0748a133;6fa14c7b-7a92-46ec-862b-5cf23a4d15d7;31.75;EUR;480;2023-10-05
cd780aa5-b27f-46a7-af2f-9057fa0a7364;"Brushstrokes of Life";"A poignant collection of poetry and reflections on the human experience";183c53d9-a71b-443f-9431-f061cb876d15;c1bbcc79-067d-463e-a6c7-61f9f2b21532;e8d981c1-07e2-4cc2-9b76-82bbcb08d8f4;16.95;USD;176;2022-06-25
99175d09-7f63-41d2-b76b-e7327831b958;"The Quantum Garden";"Sequel to Quantum Journeys, delving deeper into the quantum realm";5e2c0f0b-9435-402a-892b-8d7610439fc4;c6279534-5dda-4009-b8ee-0ddc0748a133;b5f28145-61fb-4d73-9513-9ae1c50c89f8;39.99;GBP;368;2023-03-30
8861c442-0cf6-40ec-9099-81f20e920553;"Sailing to Serenity";"An inspiring memoir of a solo sailing journey across the Pacific";216b09e8-ed7e-474b-934e-e9148691d2b8;c1bbcc79-067d-463e-a6c7-61f9f2b21532;6fa14c7b-7a92-46ec-862b-5cf23a4d15d7;26.50;USD;288;2022-08-14
